
1;1;2025-08-29;120.00000;3.44400;3.64800;000;16.80994;96.09806;True
2;2;2025-08-29;95.00000;2.72650;2.88800;285.00000;10.92931;-206.54381;True
3;3;2025-08-29;85.00000;2.43950;2.58400;000;8.57706;71.39944;True
4;4;2025-08-29;78.00000;2.23860;2.37120;000;6.93049;66.45971;True
5;5;2025-08-29;70.00000;2.00900;2.12800;000;5.36845;60.49455;True
6;6;2025-08-29;65.00000;1.86550;1.97600;000;4.42755;56.73095;True
7;7;2025-08-29;60.00000;1.72200;1.82400;000;3.48665;52.96735;True
8;8;2025-08-29;55.00000;1.57850;1.67200;000;2.55967;49.18982;True
9;9;2025-08-29;50.00000;1.43500;1.52000;000;1.85400;45.19100;True
10;10;2025-08-29;48.00000;1.37760;1.45920;000;1.57173;43.59147;True
11;11;2025-08-29;45.00000;1.29150;1.36800;000;1.14833;41.19218;True
12;12;2025-08-29;42.00000;1.20540;1.27680;000;72492;38.79288;True
13;13;2025-08-29;75.00000;2.15250;2.28000;000;6.30935;64.25815;True
14;14;2025-08-29;68.00000;1.95160;2.06720;000;4.99209;58.98911;True
15;15;2025-08-29;58.00000;1.66460;1.76320;000;3.11029;51.46191;True
16;16;2025-08-29;52.00000;1.49240;1.58080;000;2.13627;46.79053;True
17;17;2025-08-29;48.00000;1.37760;1.45920;000;1.57173;43.59147;True
18;18;2025-08-29;44.00000;1.26280;1.33760;000;1.00719;40.39241;True
19;19;2025-08-29;40.00000;1.14800;1.21600;000;44265;37.19335;True
20;20;2025-08-29;38.00000;1.09060;1.15520;000;16038;35.59382;True
21;21;2025-08-29;36.00000;1.03320;1.09440;000;000;33.87240;True
22;22;2025-08-29;34.00000;97580;1.03360;000;000;31.99060;True
23;23;2025-08-29;32.00000;91840;97280;000;000;30.10880;True
24;24;2025-08-29;30.00000;86100;91200;000;000;28.22700;True
25;25;2025-08-29;28.00000;80360;85120;000;000;26.34520;True
26;26;2025-08-29;150.00000;4.30500;4.56000;000;23.86669;117.26831;True
27;27;2025-08-29;135.00000;3.87450;4.10400;000;20.33831;106.68319;True
28;28;2025-08-29;95.00000;2.72650;2.88800;000;10.92931;78.45619;True
29;29;2025-08-29;88.00000;2.52560;2.67520;000;9.28274;73.51646;True
30;30;2025-08-29;82.00000;2.35340;2.49280;000;7.87139;69.28241;True
31;31;2025-08-29;78.00000;2.23860;2.37120;000;6.93049;66.45971;True
32;32;2025-08-29;72.00000;2.06640;2.18880;000;5.74481;61.99999;True
33;33;2025-08-29;68.00000;1.95160;2.06720;000;4.99209;58.98911;True
34;34;2025-08-29;64.00000;1.83680;1.94560;000;4.23937;55.97823;True
35;35;2025-08-29;60.00000;1.72200;1.82400;000;3.48665;52.96735;True
36;36;2025-08-29;58.00000;1.66460;1.76320;000;3.11029;51.46191;True
37;37;2025-08-29;56.00000;1.60720;1.70240;000;2.73393;49.95647;True
38;38;2025-08-29;92.00000;2.64040;2.79680;000;10.22364;76.33916;True
39;39;2025-08-29;76.00000;2.18120;2.31040;000;6.49753;65.01087;True
40;40;2025-08-29;74.00000;2.12380;2.24960;000;6.12117;63.50543;True
41;41;2025-08-29;85.00000;2.43950;2.58400;000;8.57706;71.39944;True
42;42;2025-08-29;70.00000;2.00900;2.12800;000;5.36845;60.49455;True
43;43;2025-08-29;66.00000;1.89420;2.00640;000;4.61573;57.48367;True
44;44;2025-08-29;62.00000;1.77940;1.88480;000;3.86301;54.47279;True
45;45;2025-08-29;58.00000;1.66460;1.76320;000;3.11029;51.46191;True
46;46;2025-08-29;65.00000;1.86550;1.97600;000;4.42755;56.73095;True
47;47;2025-08-29;61.00000;1.75070;1.85440;000;3.67483;53.72007;True
48;48;2025-08-29;59.00000;1.69330;1.79360;000;3.29847;52.21463;True
49;49;2025-08-29;75.00000;2.15250;2.28000;000;6.30935;64.25815;True
50;50;2025-08-29;57.00000;1.63590;1.73280;000;2.92211;50.70919;True
